metric,mean,median,p25,p75,min,max
ChromosomeCoverage,99.60151769219839,99.96000000000001,99.93,99.98,3.34,100
[Target] Average depth,176.88233622282223,172.20999999999998,132.5,217.75,10.06,853.55
[Target] Average depth(rmdup),144.4414565866136,141.37,107.88,178.82000000000002,9.88,699.13
[Target] Coverage (>0x),99.60151769219839,99.96000000000001,99.93,99.98,3.34,100
[Target] Coverage (>=100x),70.51865283501492,78.5,60.47,87.86,0.17,99.25
[Target] Coverage (>=10x),98.49245985505186,99.64999999999999,99.36,99.76,3.05,99.98
[Target] Coverage (>=30x),94.33611624271707,98.2,96.32,98.85,2.9299999999999997,99.91000000000001
[Target] Coverage (>=4x),99.32245274975132,99.88,99.78,99.92,3.14,99.99000000000001
[Target] Fraction Region covered >= 100x,64.42881341480745,71.86,53.74,81.23,0.1,97.8
[Target] Fraction Region covered >= 10x,97.68841693903653,99.08,98.43,99.36,8.65,99.95
[Target] Fraction Region covered >= 30x,91.6187679408839,95.63,92.66,96.98,5.659999999999999,99.77
[Target] Fraction Region covered >= 4x,99.02056700298422,99.7,99.48,99.79,9.88,99.98
[Target] Fraction of Target Data in all data,64.4565908767941,64.48,62.75,66.45,36.01,86.64
[Target] Fraction of Target Data in mapped data,64.56832599118943,64.58,62.849999999999994,66.59,36.24,86.64
[Target] Fraction of Target Reads in all reads,73.50767514565867,73.45,72.03,75.31,44.21,95.86
[Target] Fraction of Target Reads in mapped reads,73.63023021173795,73.54,72.14,75.46000000000001,44.49,95.86
[flank] Average depth,139.72325849083416,135.92000000000002,104.54,171.15,9.83,665.7900000000001
[flank] Fraction of flank Data in all data,75.30514992184169,75.46000000000001,73.95,77.07,47.64,97.49000000000001
[flank] Fraction of flank Data in mapped data,75.43527213301122,75.59,74.1,77.2,47.949999999999996,97.49000000000001
[flank] Fraction of flank Reads in all reads,76.73207474776183,76.63,75.35,78.26,50.91,97.94000000000001
[flank] Fraction of flank Reads in mapped reads,76.85986073610914,76.71000000000001,75.45,78.44000000000001,51.230000000000004,97.94000000000001
